Content,Sample Name,Sample,Dilution,Dest Well,Transferred,Destination Plate Barcode
Sample94_100,S2017_366,1,100,I14,TRUE,R_1_5
POS1_25,POS2,0,25,J14,FALSE,R_1_5
Sample95_25,S2017_367,1,25,K14,TRUE,R_1_5
Sample95_100,S2017_367,1,100,L14,TRUE,R_1_5
Sample96_25,S2017_368,1,25,M14,TRUE,R_1_5
Sample96_100,S2017_368,1,100,N14,TRUE,R_1_5
Sample97_25,S2017_369,1,25,O14,TRUE,R_1_5
Sample97_100,S2017_369,1,100,P14,TRUE,R_1_5
Sample98_25,S2017_370,1,25,A15,TRUE,R_1_5
NEG1_25,NEG1,0,25,B15,TRUE,R_1_5
Sample98_100,S2017_370,1,100,C15,TRUE,R_1_5
Sample99_25,S2017_371,1,25,D15,TRUE,R_1_5
Sample99_100,S2017_371,1,100,E15,TRUE,R_1_5
Sample100_25,S2017_372,1,25,F15,TRUE,R_1_5
Sample100_100,S2017_372,1,100,G15,TRUE,R_1_5
Sample101_25,S2017_373,1,25,H15,TRUE,R_1_5
Sample101_100,S2017_373,1,100,I15,TRUE,R_1_5
POS1_100,POS2,0,100,J15,FALSE,R_1_5
Sample102_25,S2017_374,1,25,K15,TRUE,R_1_5
Sample102_100,S2017_374,1,100,L15,TRUE,R_1_5
Sample103_25,S2017_375,1,25,M15,TRUE,R_1_5
Sample103_100,S2017_375,1,100,N15,TRUE,R_1_5
NEG2_25,NEG1,0,25,O15,TRUE,R_1_5
Sample104_25,S2017_376,1,25,P15,TRUE,R_1_5
Sample104_100,S2017_376,1,100,A16,TRUE,R_1_5
NEG1_100,NEG1,0,100,B16,TRUE,R_1_5
Sample105_25,S2017_377,1,25,C16,TRUE,R_1_5
Sample105_100,S2017_377,1,100,D16,TRUE,R_1_5
Sample106_25,S2017_378,1,25,E16,TRUE,R_1_5
Sample106_100,S2017_378,1,100,F16,TRUE,R_1_5
Sample107_25,S2017_379,1,25,G16,TRUE,R_1_5
Sample107_100,S2017_379,1,100,H16,TRUE,R_1_5
Cells only,NEG2,0,1,I16,TRUE,R_1_5
Sample108_25,S2017_380,1,25,J16,TRUE,R_1_5
Sample108_100,S2017_380,1,100,K16,TRUE,R_1_5
Sample109_25,S2017_381,1,25,L16,TRUE,R_1_5
Sample109_100,S2017_381,1,100,M16,TRUE,R_1_5
Sample110_25,S2017_382,1,25,N16,TRUE,R_1_5
NEG2_100,NEG1,0,100,O16,TRUE,R_1_5
Sample110_100,S2017_382,1,100,P16,TRUE,R_1_5
Sample111_25,S2017_383,1,25,A17,TRUE,R_1_5
Sample111_100,S2017_383,1,100,B17,TRUE,R_1_5
POS2_25,POS1,0,25,C17,TRUE,R_1_5
Sample112_25,S2017_384,1,25,D17,TRUE,R_1_5
Sample112_100,S2017_384,1,100,E17,TRUE,R_1_5
Sample113_25,EMPTY,0,25,F17,TRUE,R_1_5
Sample113_100,EMPTY,0,100,G17,TRUE,R_1_5
Sample114_25,EMPTY,0,25,H17,TRUE,R_1_5
Sample114_100,EMPTY,0,100,I17,TRUE,R_1_5
Sample115_25,EMPTY,0,25,J17,TRUE,R_1_5
Sample115_100,EMPTY,0,100,K17,TRUE,R_1_5
Sample116_25,EMPTY,0,25,L17,TRUE,R_1_5
Sample116_100,EMPTY,0,100,M17,TRUE,R_1_5
Sample117_25,EMPTY,0,25,N17,TRUE,R_1_5
Sample117_100,EMPTY,0,100,O17,TRUE,R_1_5
Sample118_25,EMPTY,0,25,P17,TRUE,R_1_5
Cells only,NEG2,0,1,A18,TRUE,R_1_5
Sample118_100,EMPTY,0,100,B18,TRUE,R_1_5
POS2_100,POS1,0,100,C18,TRUE,R_1_5
Sample119_25,EMPTY,0,25,D18,TRUE,R_1_5
Sample119_100,EMPTY,0,100,E18,TRUE,R_1_5
Sample120_25,EMPTY,0,25,F18,TRUE,R_1_5
Sample120_100,EMPTY,0,100,G18,TRUE,R_1_5
Sample121_25,EMPTY,0,25,H18,TRUE,R_1_5
Sample121_100,EMPTY,0,100,I18,TRUE,R_1_5
Sample122_25,EMPTY,0,25,J18,TRUE,R_1_5
Sample122_100,EMPTY,0,100,K18,TRUE,R_1_5
Sample123_25,EMPTY,0,25,L18,TRUE,R_1_5
Sample123_100,EMPTY,0,100,M18,TRUE,R_1_5
Sample124_25,EMPTY,0,25,N18,TRUE,R_1_5
Sample124_100,EMPTY,0,100,O18,TRUE,R_1_5
Sample125_25,EMPTY,0,25,P18,TRUE,R_1_5
Sample125_100,EMPTY,0,100,A19,TRUE,R_1_5
Sample126_25,EMPTY,0,25,B19,TRUE,R_1_5
Sample126_100,EMPTY,0,100,C19,TRUE,R_1_5
Sample127_25,EMPTY,0,25,D19,TRUE,R_1_5
Sample127_100,EMPTY,0,100,E19,TRUE,R_1_5
Sample128_25,EMPTY,0,25,F19,TRUE,R_1_5
Sample128_100,EMPTY,0,100,G19,TRUE,R_1_5
Sample129_25,EMPTY,0,25,H19,TRUE,R_1_5
Sample129_100,EMPTY,0,100,I19,TRUE,R_1_5
Sample130_25,EMPTY,0,25,J19,TRUE,R_1_5
Sample130_100,EMPTY,0,100,K19,TRUE,R_1_5
Sample131_25,EMPTY,0,25,L19,TRUE,R_1_5
Sample131_100,EMPTY,0,100,M19,TRUE,R_1_5
Sample132_25,EMPTY,0,25,N19,TRUE,R_1_5
Sample132_100,EMPTY,0,100,O19,TRUE,R_1_5
Cells only,NEG2,0,1,P19,TRUE,R_1_5
Sample133_25,EMPTY,0,25,A20,TRUE,R_1_5
Sample133_100,EMPTY,0,100,B20,TRUE,R_1_5
Sample134_25,EMPTY,0,25,C20,TRUE,R_1_5
Sample134_100,EMPTY,0,100,D20,TRUE,R_1_5
Sample135_25,EMPTY,0,25,E20,TRUE,R_1_5
Sample135_100,EMPTY,0,100,F20,TRUE,R_1_5
NEG3_25,MP,0,25,G20,TRUE,R_1_5
Sample136_25,EMPTY,0,25,H20,TRUE,R_1_5
Sample136_100,EMPTY,0,100,I20,TRUE,R_1_5
Sample137_25,EMPTY,0,25,J20,TRUE,R_1_5
Sample137_100,EMPTY,0,100,K20,TRUE,R_1_5
Sample138_25,EMPTY,0,25,L20,TRUE,R_1_5
Sample138_100,EMPTY,0,100,M20,TRUE,R_1_5
Sample139_25,EMPTY,0,25,N20,TRUE,R_1_5
Sample139_100,EMPTY,0,100,O20,TRUE,R_1_5
Sample140_25,EMPTY,0,25,P20,TRUE,R_1_5
Sample140_100,EMPTY,0,100,A21,TRUE,R_1_5
Cells only,NEG2,0,1,B21,TRUE,R_1_5
Sample141_25,EMPTY,0,25,C21,TRUE,R_1_5
Sample141_100,EMPTY,0,100,D21,TRUE,R_1_5
Sample142_25,EMPTY,0,25,E21,TRUE,R_1_5
Sample142_100,EMPTY,0,100,F21,TRUE,R_1_5
NEG3_100,MP,0,100,G21,TRUE,R_1_5
Sample143_25,EMPTY,0,25,H21,TRUE,R_1_5
Sample143_100,EMPTY,0,100,I21,TRUE,R_1_5
Sample144_25,EMPTY,0,25,J21,TRUE,R_1_5
Sample144_100,EMPTY,0,100,K21,TRUE,R_1_5
Sample145_25,EMPTY,0,25,L21,TRUE,R_1_5
Sample145_100,EMPTY,0,100,M21,TRUE,R_1_5
Sample146_25,EMPTY,0,25,N21,TRUE,R_1_5
Sample146_100,EMPTY,0,100,O21,TRUE,R_1_5
Sample147_25,EMPTY,0,25,P21,TRUE,R_1_5
Sample147_100,EMPTY,0,100,A22,TRUE,R_1_5
Sample148_25,EMPTY,0,25,B22,TRUE,R_1_5
Sample148_100,EMPTY,0,100,C22,TRUE,R_1_5
Sample149_25,EMPTY,0,25,D22,TRUE,R_1_5
Sample149_100,EMPTY,0,100,E22,TRUE,R_1_5
Sample150_25,EMPTY,0,25,F22,TRUE,R_1_5
Sample150_100,EMPTY,0,100,G22,TRUE,R_1_5
Sample151_25,EMPTY,0,25,H22,TRUE,R_1_5
Sample151_100,EMPTY,0,100,I22,TRUE,R_1_5
Sample152_25,EMPTY,0,25,J22,TRUE,R_1_5
Sample152_100,EMPTY,0,100,K22,TRUE,R_1_5
NEG1_25,NEG1,0,25,L22,TRUE,R_1_5
Sample153_25,EMPTY,0,25,M22,TRUE,R_1_5
Sample153_100,EMPTY,0,100,N22,TRUE,R_1_5
Sample154_25,EMPTY,0,25,O22,TRUE,R_1_5
Sample154_100,EMPTY,0,100,P22,TRUE,R_1_5
Sample155_25,EMPTY,0,25,A23,TRUE,R_1_5
Sample155_100,EMPTY,0,100,B23,TRUE,R_1_5
Sample156_25,EMPTY,0,25,C23,TRUE,R_1_5
Sample156_100,EMPTY,0,100,D23,TRUE,R_1_5
POS1_25,POS2,0,25,E23,TRUE,R_1_5
Sample157_25,EMPTY,0,25,F23,TRUE,R_1_5
Sample157_100,EMPTY,0,100,G23,TRUE,R_1_5
Sample158_25,EMPTY,0,25,H23,TRUE,R_1_5
Sample158_100,EMPTY,0,100,I23,TRUE,R_1_5
Sample159_25,EMPTY,0,25,J23,TRUE,R_1_5
Sample159_100,EMPTY,0,100,K23,TRUE,R_1_5
NEG1_100,NEG1,0,100,L23,TRUE,R_1_5
Sample160_25,EMPTY,0,25,M23,TRUE,R_1_5
Sample160_100,EMPTY,0,100,N23,TRUE,R_1_5
Sample161_25,EMPTY,0,25,O23,TRUE,R_1_5
Sample161_100,EMPTY,0,100,P23,TRUE,R_1_5
EMPTY,EMPTY,0,0,A24,TRUE,R_1_5
Secondaries only,NEG3,0,1,B24,TRUE,R_1_5
Sample162_25,EMPTY,0,25,C24,TRUE,R_1_5
Sample162_100,EMPTY,0,100,D24,TRUE,R_1_5
POS1_100,POS2,0,100,E24,TRUE,R_1_5
Sample163_25,EMPTY,0,25,F24,TRUE,R_1_5
Sample163_100,EMPTY,0,100,G24,TRUE,R_1_5
Sample164_25,EMPTY,0,25,H24,TRUE,R_1_5
Sample164_100,EMPTY,0,100,I24,TRUE,R_1_5
EMPTY,EMPTY,0,0,J24,TRUE,R_1_5
EMPTY,EMPTY,0,0,K24,TRUE,R_1_5
EMPTY,EMPTY,0,0,L24,TRUE,R_1_5
EMPTY,EMPTY,0,0,M24,TRUE,R_1_5
EMPTY,EMPTY,0,0,N24,TRUE,R_1_5
Cells only,NEG2,0,1,O24,TRUE,R_1_5
EMPTY,EMPTY,0,0,P24,TRUE,R_1_5
EMPTY,EMPTY,0,0,A1,TRUE,N_1_3
Sample1_25,S2020_056,1,25,B1,TRUE,N_1_3
Sample1_100,S2020_056,1,100,C1,TRUE,N_1_3
Sample2_25,S2020_068,1,25,D1,TRUE,N_1_3
Sample2_100,S2020_068,1,100,E1,TRUE,N_1_3
Sample3_25,S2020_007,1,25,F1,TRUE,N_1_3
Sample3_100,S2020_007,1,100,G1,TRUE,N_1_3
Sample4_25,S2020_019,1,25,H1,TRUE,N_1_3
Sample4_100,S2020_019,1,100,I1,TRUE,N_1_3
Secondaries only,NEG3,0,1,J1,TRUE,N_1_3
Sample5_25,S2020_031,1,25,K1,TRUE,N_1_3
Sample5_100,S2020_031,1,100,L1,TRUE,N_1_3
Sample6_25,S2020_045,1,25,M1,TRUE,N_1_3
Sample6_100,S2020_045,1,100,N1,TRUE,N_1_3
NEG3_25,MP,0,25,O1,TRUE,N_1_3
EMPTY,EMPTY,0,0,P1,TRUE,N_1_3
POS1_25,POS2,0,25,A2,FALSE,N_1_3
Sample7_25,S2020_057,1,25,B2,TRUE,N_1_3
Sample7_100,S2020_057,1,100,C2,TRUE,N_1_3
Sample8_25,S2020_069,1,25,D2,TRUE,N_1_3
Cells only,NEG2,0,1,E2,TRUE,N_1_3
Sample8_100,S2020_069,1,100,F2,TRUE,N_1_3
Sample9_25,S2020_008,1,25,G2,TRUE,N_1_3
Sample9_100,S2020_008,1,100,H2,TRUE,N_1_3
Sample10_25,S2020_020,1,25,I2,TRUE,N_1_3
Sample10_100,S2020_020,1,100,J2,TRUE,N_1_3
Sample11_25,S2020_032,1,25,K2,TRUE,N_1_3
Sample11_100,S2020_032,1,100,L2,TRUE,N_1_3
Sample12_25,S2020_046,1,25,M2,TRUE,N_1_3
Sample12_100,S2020_046,1,100,N2,TRUE,N_1_3
NEG3_100,MP,0,100,O2,TRUE,N_1_3
Sample13_25,S2020_058,1,25,P2,TRUE,N_1_3
POS1_100,POS2,0,100,A3,FALSE,N_1_3
Sample13_100,S2020_058,1,100,B3,TRUE,N_1_3
Sample14_25,S2020_009,1,25,C3,TRUE,N_1_3
Sample14_100,S2020_009,1,100,D3,TRUE,N_1_3
Sample15_25,S2020_021,1,25,E3,TRUE,N_1_3
Sample15_100,S2020_021,1,100,F3,TRUE,N_1_3
Sample16_25,S2020_033,1,25,G3,TRUE,N_1_3
NEG2_25,NEG1,0,25,H3,FALSE,N_1_3
Sample16_100,S2020_033,1,100,I3,TRUE,N_1_3
Sample17_25,S2017_149,1,25,J3,TRUE,N_1_3
Sample17_100,S2017_149,1,100,K3,TRUE,N_1_3
Sample18_25,S2017_150,1,25,L3,TRUE,N_1_3
Sample18_100,S2017_150,1,100,M3,TRUE,N_1_3
Sample19_25,S2017_151,1,25,N3,TRUE,N_1_3
Sample19_100,S2017_151,1,100,O3,TRUE,N_1_3
Sample20_25,S2017_152,1,25,P3,TRUE,N_1_3
Sample20_100,S2017_152,1,100,A4,TRUE,N_1_3
Sample21_25,S2017_153,1,25,B4,TRUE,N_1_3
Sample21_100,S2017_153,1,100,C4,TRUE,N_1_3
Sample22_25,S2017_154,1,25,D4,TRUE,N_1_3
Sample22_100,S2017_154,1,100,E4,TRUE,N_1_3
Sample23_25,S2017_155,1,25,F4,TRUE,N_1_3
Sample23_100,S2017_155,1,100,G4,TRUE,N_1_3
NEG2_100,NEG1,0,100,H4,FALSE,N_1_3
Sample24_25,S2017_156,1,25,I4,TRUE,N_1_3
Sample24_100,S2017_156,1,100,J4,TRUE,N_1_3
Sample25_25,S2017_157,1,25,K4,TRUE,N_1_3
Sample25_100,S2017_157,1,100,L4,TRUE,N_1_3
Sample26_25,S2017_158,1,25,M4,TRUE,N_1_3
Sample26_100,S2017_158,1,100,N4,TRUE,N_1_3
POS2_25,POS1,0,25,O4,TRUE,N_1_3
Cells only,NEG2,0,1,P4,TRUE,N_1_3
Sample27_25,S2017_159,1,25,A5,TRUE,N_1_3
NEG1_25,NEG1,0,25,B5,FALSE,N_1_3
Sample27_100,S2017_159,1,100,C5,TRUE,N_1_3
Sample28_25,S2017_160,1,25,D5,TRUE,N_1_3
Sample28_100,S2017_160,1,100,E5,TRUE,N_1_3
Sample29_25,S2017_161,1,25,F5,TRUE,N_1_3
Sample29_100,S2017_161,1,100,G5,TRUE,N_1_3
Sample30_25,S2017_162,1,25,H5,TRUE,N_1_3
Sample30_100,S2017_162,1,100,I5,TRUE,N_1_3
Sample31_25,S2017_163,1,25,J5,TRUE,N_1_3
Sample31_100,S2017_163,1,100,K5,TRUE,N_1_3
Sample32_25,S2017_164,1,25,L5,TRUE,N_1_3
Sample32_100,S2017_164,1,100,M5,TRUE,N_1_3
Sample33_25,S2017_165,1,25,N5,TRUE,N_1_3
POS2_100,POS1,0,100,O5,TRUE,N_1_3
Sample33_100,S2017_165,1,100,P5,TRUE,N_1_3
Sample34_25,S2017_166,1,25,A6,TRUE,N_1_3
NEG1_100,NEG1,0,100,B6,FALSE,N_1_3
Sample34_100,S2017_166,1,100,C6,TRUE,N_1_3
Sample35_25,S2017_167,1,25,D6,TRUE,N_1_3
Sample35_100,S2017_167,1,100,E6,TRUE,N_1_3
Cells only,NEG2,0,1,F6,TRUE,N_1_3
Sample36_25,S2017_168,1,25,G6,TRUE,N_1_3
Sample36_100,S2017_168,1,100,H6,TRUE,N_1_3
Sample37_25,S2017_169,1,25,I6,TRUE,N_1_3
Sample37_100,S2017_169,1,100,J6,TRUE,N_1_3
Sample38_25,S2017_170,1,25,K6,TRUE,N_1_3
Sample38_100,S2017_170,1,100,L6,TRUE,N_1_3
Sample39_25,S2017_171,1,25,M6,TRUE,N_1_3
Sample39_100,S2017_171,1,100,N6,TRUE,N_1_3
Sample40_25,S2017_172,1,25,O6,TRUE,N_1_3
Sample40_100,S2017_172,1,100,P6,TRUE,N_1_3
Cells only,NEG2,0,1,A7,TRUE,N_1_3
Sample41_25,S2017_173,1,25,B7,TRUE,N_1_3
Sample41_100,S2017_173,1,100,C7,TRUE,N_1_3
Sample42_25,S2017_174,1,25,D7,TRUE,N_1_3
Sample42_100,S2017_174,1,100,E7,TRUE,N_1_3
Sample43_25,S2017_175,1,25,F7,TRUE,N_1_3
Sample43_100,S2017_175,1,100,G7,TRUE,N_1_3
Sample44_25,S2017_176,1,25,H7,TRUE,N_1_3
Sample44_100,S2017_176,1,100,I7,TRUE,N_1_3
NEG3_25,MP,0,25,J7,TRUE,N_1_3
Sample45_25,S2017_177,1,25,K7,TRUE,N_1_3
Sample45_100,S2017_177,1,100,L7,TRUE,N_1_3
Sample46_25,S2017_178,1,25,M7,TRUE,N_1_3
Sample46_100,S2017_178,1,100,N7,TRUE,N_1_3
Sample47_25,S2017_179,1,25,O7,TRUE,N_1_3
Sample47_100,S2017_179,1,100,P7,TRUE,N_1_3
Sample48_25,S2017_180,1,25,A8,TRUE,N_1_3
Sample48_100,S2017_180,1,100,B8,TRUE,N_1_3
Sample49_25,S2017_181,1,25,C8,TRUE,N_1_3
Sample49_100,S2017_181,1,100,D8,TRUE,N_1_3
Sample50_25,S2017_182,1,25,E8,TRUE,N_1_3
POS1_25,POS2,0,25,F8,FALSE,N_1_3
Sample50_100,S2017_182,1,100,G8,TRUE,N_1_3
Sample51_25,S2017_183,1,25,H8,TRUE,N_1_3
Sample51_100,S2017_183,1,100,I8,TRUE,N_1_3
NEG3_100,MP,0,100,J8,TRUE,N_1_3
Sample52_25,S2017_184,1,25,K8,TRUE,N_1_3
Sample52_100,S2017_184,1,100,L8,TRUE,N_1_3
Sample53_25,S2017_185,1,25,M8,TRUE,N_1_3
Sample53_100,S2017_185,1,100,N8,TRUE,N_1_3
Sample54_25,S2017_186,1,25,O8,TRUE,N_1_3
Sample54_100,S2017_186,1,100,P8,TRUE,N_1_3
NEG2_25,NEG1,0,25,A9,FALSE,N_1_3
Sample55_25,S2017_187,1,25,B9,TRUE,N_1_3
Sample55_100,S2017_187,1,100,C9,TRUE,N_1_3
Sample56_25,S2017_188,1,25,D9,TRUE,N_1_3
Sample56_100,S2017_188,1,100,E9,TRUE,N_1_3
POS1_100,POS2,0,100,F9,FALSE,N_1_3
Sample57_25,S2017_189,1,25,G9,TRUE,N_1_3
Sample57_100,S2017_189,1,100,H9,TRUE,N_1_3
Sample58_25,S2017_190,1,25,I9,TRUE,N_1_3
Sample58_100,S2017_190,1,100,J9,TRUE,N_1_3
Sample59_25,S2017_191,1,25,K9,TRUE,N_1_3
Sample59_100,S2017_191,1,100,L9,TRUE,N_1_3
Sample60_25,S2017_192,1,25,M9,TRUE,N_1_3
Sample60_100,S2017_192,1,100,N9,TRUE,N_1_3
Sample61_25,S2017_193,1,25,O9,TRUE,N_1_3
Sample61_100,S2017_193,1,100,P9,TRUE,N_1_3
NEG2_100,NEG1,0,100,A10,FALSE,N_1_3
Sample62_25,S2017_194,1,25,B10,TRUE,N_1_3
Sample62_100,S2017_194,1,100,C10,TRUE,N_1_3
Sample63_25,S2017_195,1,25,D10,TRUE,N_1_3
Sample63_100,S2017_195,1,100,E10,TRUE,N_1_3
Sample64_25,S2017_196,1,25,F10,TRUE,N_1_3
Sample64_100,S2017_196,1,100,G10,TRUE,N_1_3
Cells only,NEG2,0,1,H10,TRUE,N_1_3
Sample65_25,S2017_197,1,25,I10,TRUE,N_1_3
Sample65_100,S2017_197,1,100,J10,TRUE,N_1_3
Sample66_25,S2017_198,1,25,K10,TRUE,N_1_3
Sample66_100,S2017_198,1,100,L10,TRUE,N_1_3
Sample67_25,S2017_199,1,25,M10,TRUE,N_1_3
Sample67_100,S2017_199,1,100,N10,TRUE,N_1_3
Sample68_25,S2017_200,1,25,O10,FALSE,N_1_3
Sample68_100,S2017_200,1,100,P10,FALSE,N_1_3
Sample69_25,S2017_201,1,25,A11,TRUE,N_1_3
Sample69_100,S2017_201,1,100,B11,TRUE,N_1_3
Sample70_25,S2017_202,1,25,C11,TRUE,N_1_3
Sample70_100,S2017_202,1,100,D11,TRUE,N_1_3
Sample71_25,S2017_203,1,25,E11,TRUE,N_1_3
Sample71_100,S2017_203,1,100,F11,TRUE,N_1_3
Sample72_25,S2017_204,1,25,G11,TRUE,N_1_3
Sample72_100,S2017_204,1,100,H11,TRUE,N_1_3
Sample73_25,S2017_205,1,25,I11,TRUE,N_1_3
Sample73_100,S2017_205,1,100,J11,TRUE,N_1_3
Sample74_25,S2017_206,1,25,K11,TRUE,N_1_3
NEG1_25,NEG1,0,25,L11,FALSE,N_1_3
Sample74_100,S2017_206,1,100,M11,TRUE,N_1_3
Sample75_25,S2017_207,1,25,N11,TRUE,N_1_3
Sample75_100,S2017_207,1,100,O11,TRUE,N_1_3
Sample76_25,S2017_208,1,25,P11,TRUE,N_1_3
Sample76_100,S2017_208,1,100,A12,TRUE,N_1_3
Sample77_25,S2017_209,1,25,B12,TRUE,N_1_3
Sample77_100,S2017_209,1,100,C12,TRUE,N_1_3
Sample78_25,S2017_210,1,25,D12,FALSE,N_1_3
Sample78_100,S2017_210,1,100,E12,FALSE,N_1_3
Sample79_25,S2017_211,1,25,F12,TRUE,N_1_3
Sample79_100,S2017_211,1,100,G12,TRUE,N_1_3
Sample80_25,S2017_212,1,25,H12,TRUE,N_1_3
Sample80_100,S2017_212,1,100,I12,TRUE,N_1_3
Sample81_25,S2017_213,1,25,J12,TRUE,N_1_3
Sample81_100,S2017_213,1,100,K12,TRUE,N_1_3
NEG1_100,NEG1,0,100,L12,FALSE,N_1_3
Sample82_25,S2017_214,1,25,M12,TRUE,N_1_3
Sample82_100,S2017_214,1,100,N12,TRUE,N_1_3
Sample83_25,S2017_215,1,25,O12,TRUE,N_1_3
Sample83_100,S2017_215,1,100,P12,TRUE,N_1_3
Secondaries only,NEG3,0,1,A13,TRUE,N_1_3
Sample84_25,S2017_216,1,25,B13,TRUE,N_1_3
Sample84_100,S2017_216,1,100,C13,TRUE,N_1_3
Sample85_25,S2017_217,1,25,D13,TRUE,N_1_3
Sample85_100,S2017_217,1,100,E13,TRUE,N_1_3
Sample86_25,S2017_218,1,25,F13,FALSE,N_1_3
Sample86_100,S2017_218,1,100,G13,FALSE,N_1_3
Sample87_25,S2017_219,1,25,H13,TRUE,N_1_3
Sample87_100,S2017_219,1,100,I13,TRUE,N_1_3
Sample88_25,S2017_220,1,25,J13,TRUE,N_1_3
Sample88_100,S2017_220,1,100,K13,TRUE,N_1_3
Sample89_25,S2017_221,1,25,L13,TRUE,N_1_3
Sample89_100,S2017_221,1,100,M13,TRUE,N_1_3
Sample90_25,S2017_222,1,25,N13,TRUE,N_1_3
Sample90_100,S2017_222,1,100,O13,TRUE,N_1_3
Cells only,NEG2,0,1,P13,TRUE,N_1_3
Sample91_25,S2017_223,1,25,A14,TRUE,N_1_3
Sample91_100,S2017_223,1,100,B14,TRUE,N_1_3
Sample92_25,S2017_224,1,25,C14,TRUE,N_1_3
Sample92_100,S2017_224,1,100,D14,TRUE,N_1_3
Cells only,NEG2,0,1,E14,TRUE,N_1_3
Sample93_25,S2017_225,1,25,F14,TRUE,N_1_3
Sample93_100,S2017_225,1,100,G14,TRUE,N_1_3
Sample94_25,S2017_226,1,25,H14,TRUE,N_1_3
Sample94_100,S2017_226,1,100,I14,TRUE,N_1_3
POS1_25,POS2,0,25,J14,FALSE,N_1_3
Sample95_25,S2017_227,1,25,K14,TRUE,N_1_3
Sample95_100,S2017_227,1,100,L14,TRUE,N_1_3
Sample96_25,S2017_228,1,25,M14,TRUE,N_1_3
Sample96_100,S2017_228,1,100,N14,TRUE,N_1_3
Sample97_25,S2017_229,1,25,O14,TRUE,N_1_3
Sample97_100,S2017_229,1,100,P14,TRUE,N_1_3
Sample98_25,S2017_230,1,25,A15,TRUE,N_1_3
NEG1_25,NEG1,0,25,B15,FALSE,N_1_3
Sample98_100,S2017_230,1,100,C15,TRUE,N_1_3
Sample99_25,S2017_231,1,25,D15,TRUE,N_1_3
Sample99_100,S2017_231,1,100,E15,TRUE,N_1_3
Sample100_25,S2017_232,1,25,F15,TRUE,N_1_3
Sample100_100,S2017_232,1,100,G15,TRUE,N_1_3
Sample101_25,S2017_233,1,25,H15,TRUE,N_1_3
Sample101_100,S2017_233,1,100,I15,TRUE,N_1_3
POS1_100,POS2,0,100,J15,FALSE,N_1_3
Sample102_25,S2017_234,1,25,K15,TRUE,N_1_3
Sample102_100,S2017_234,1,100,L15,TRUE,N_1_3
Sample103_25,S2017_235,1,25,M15,TRUE,N_1_3
Sample103_100,S2017_235,1,100,N15,TRUE,N_1_3
NEG2_25,NEG1,0,25,O15,FALSE,N_1_3
Sample104_25,S2017_236,1,25,P15,TRUE,N_1_3
Sample104_100,S2017_236,1,100,A16,TRUE,N_1_3
NEG1_100,NEG1,0,100,B16,FALSE,N_1_3
Sample105_25,S2017_237,1,25,C16,TRUE,N_1_3
Sample105_100,S2017_237,1,100,D16,TRUE,N_1_3
Sample106_25,S2017_238,1,25,E16,TRUE,N_1_3
Sample106_100,S2017_238,1,100,F16,TRUE,N_1_3
Sample107_25,S2017_239,1,25,G16,TRUE,N_1_3
Sample107_100,S2017_239,1,100,H16,TRUE,N_1_3
Cells only,NEG2,0,1,I16,TRUE,N_1_3
Sample108_25,S2017_240,1,25,J16,TRUE,N_1_3
Sample108_100,S2017_240,1,100,K16,TRUE,N_1_3
Sample109_25,S2017_241,1,25,L16,TRUE,N_1_3
Sample109_100,S2017_241,1,100,M16,TRUE,N_1_3
Sample110_25,S2017_242,1,25,N16,TRUE,N_1_3
NEG2_100,NEG1,0,100,O16,FALSE,N_1_3
Sample110_100,S2017_242,1,100,P16,TRUE,N_1_3
Sample111_25,S2017_243,1,25,A17,TRUE,N_1_3
Sample111_100,S2017_243,1,100,B17,TRUE,N_1_3
POS2_25,POS1,0,25,C17,TRUE,N_1_3
Sample112_25,S2017_244,1,25,D17,TRUE,N_1_3
Sample112_100,S2017_244,1,100,E17,TRUE,N_1_3
Sample113_25,S2017_245,1,25,F17,TRUE,N_1_3
Sample113_100,S2017_245,1,100,G17,TRUE,N_1_3
Sample114_25,S2017_246,1,25,H17,TRUE,N_1_3
Sample114_100,S2017_246,1,100,I17,TRUE,N_1_3
Sample115_25,S2017_247,1,25,J17,TRUE,N_1_3
Sample115_100,S2017_247,1,100,K17,TRUE,N_1_3
Sample116_25,S2017_248,1,25,L17,TRUE,N_1_3
Sample116_100,S2017_248,1,100,M17,TRUE,N_1_3
Sample117_25,S2017_249,1,25,N17,TRUE,N_1_3
Sample117_100,S2017_249,1,100,O17,TRUE,N_1_3
Sample118_25,S2017_250,1,25,P17,TRUE,N_1_3
Cells only,NEG2,0,1,A18,TRUE,N_1_3
Sample118_100,S2017_250,1,100,B18,TRUE,N_1_3
POS2_100,POS1,0,100,C18,TRUE,N_1_3
Sample119_25,S2017_251,1,25,D18,TRUE,N_1_3
Sample119_100,S2017_251,1,100,E18,TRUE,N_1_3
Sample120_25,S2017_252,1,25,F18,TRUE,N_1_3
Sample120_100,S2017_252,1,100,G18,TRUE,N_1_3
Sample121_25,S2017_253,1,25,H18,TRUE,N_1_3
Sample121_100,S2017_253,1,100,I18,TRUE,N_1_3
Sample122_25,S2017_254,1,25,J18,TRUE,N_1_3
Sample122_100,S2017_254,1,100,K18,TRUE,N_1_3
Sample123_25,S2017_255,1,25,L18,TRUE,N_1_3
Sample123_100,S2017_255,1,100,M18,TRUE,N_1_3
Sample124_25,S2017_256,1,25,N18,TRUE,N_1_3
